date,code,action,price,shares,amount,fee,pnl,pnl_pct,reason
2022-09-08,sh.600426,BUY,27.33617425,300,8200.85,5.0,0.0,0.0,买入信号
2022-12-20,sh.601607,SELL,16.8216988,700,11775.18916,10.88759458,-397.7984345799996,-3.270803846210766,卖出信号（盈亏-3.14%）
2022-12-27,sz.000963,BUY,43.00653042,200,8601.31,5.0,0.0,0.0,买入信号
2023-04-13,sh.600426,SELL,30.00087695,300,9000.263084999999,9.5001315425,784.9129534574986,9.565285174083106,卖出信号（盈亏9.75%）
2023-04-13,sz.002142,BUY,25.92412718,300,7777.24,5.0,0.0,0.0,买入信号
2023-04-24,sh.600309,SELL,84.23584754,100,8423.584754,9.211792377,-504.4870383770012,-5.656407190795698,卖出信号（盈亏-5.50%）
2023-04-27,sz.002594,BUY,83.88567836,100,8388.57,5.0,0.0,0.0,买入信号
2023-05-31,sz.000963,SELL,35.92179954,200,7184.359908,8.592179954,-1430.5422719539993,-16.62201654314101,卖出信号（盈亏-16.47%）
2023-05-31,sz.300442,BUY,30.98120512,300,9294.36,5.0,0.0,0.0,买入信号
2023-06-09,sz.002594,SELL,83.587614,100,8358.7614,9.1793807,-43.98798069999975,-0.5240675981733607,卖出信号（盈亏-0.36%）
2023-06-14,sz.002304,BUY,123.03151088,100,12303.15,5.0,0.0,0.0,买入信号
2023-08-18,sz.002709,SELL,33.94147386,300,10182.442158,10.091221079,-640.2890630789989,-5.921671886597528,卖出信号（盈亏-5.78%）
2023-08-18,sh.600415,BUY,7.97147039,1600,12754.35,5.0,0.0,0.0,买入信号
2023-11-02,sz.300442,SELL,21.65900226,300,6497.700678,8.248850339,-2809.908172339001,-30.216145759912514,卖出信号（盈亏-30.09%）
2023-11-02,sh.600018,BUY,4.71889743,1600,7550.24,5.0,0.0,0.0,买入信号
2023-11-23,sz.002142,SELL,23.00505942,300,6901.517825999999,8.450758913,-889.1729329130003,-11.425668354008618,卖出信号（盈亏-11.26%）
2023-11-27,sz.300832,BUY,65.1942522,100,6519.43,5.0,0.0,0.0,买入信号
2024-01-10,sz.300832,SELL,68.66563446,100,6866.563446000001,8.433281723,333.700164277001,5.114625557742224,卖出信号（盈亏5.32%）
2024-01-11,sz.002594,BUY,64.03240878,100,6403.24,5.0,0.0,0.0,买入信号
2024-01-18,sz.002594,SELL,61.98238248,100,6198.238248,8.099119124,-218.10087112400015,-3.403444176934699,卖出信号（盈亏-3.20%）
2024-01-18,sz.300502,BUY,26.62784994,300,7988.35,5.0,0.0,0.0,买入信号
2024-01-23,sh.600415,SELL,6.48883181,1600,10382.130895999999,10.191065448,-2387.4101694480014,-18.71106419565261,卖出信号（盈亏-18.60%）
2024-01-23,sh.601138,BUY,13.7602535,700,9632.18,5.0,0.0,0.0,买入信号
2024-02-28,sh.600018,SELL,5.03535209,1600,8056.563344,9.028281672,492.2950623280003,6.515942078980951,卖出信号（盈亏6.71%）
2024-02-28,sz.002459,BUY,17.44147119,400,6976.59,5.0,0.0,0.0,买入信号
2024-09-02,sz.300502,SELL,44.90761312,300,13472.283936,11.736141968,5467.197794031999,68.3968272880832,卖出信号（盈亏68.65%）
2024-09-02,sh.603288,BUY,33.9578667,400,13583.15,5.0,0.0,0.0,买入信号
2024-10-28,sz.002304,SELL,81.75771801,100,8175.771801000001,9.087885900500002,-4141.466084900499,-33.64816064884242,卖出信号（盈亏-33.55%）
2024-11-01,sz.000425,BUY,7.99544544,1300,10394.08,5.0,0.0,0.0,买入信号
2025-05-15,sz.000425,SELL,8.28939564,1300,10776.214332000001,10.388107166000001,366.7462248340016,3.526717986918089,卖出信号（盈亏3.68%）
2025-05-26,sz.000408,BUY,36.219979,300,10865.99,5.0,0.0,0.0,买入信号
2025-11-05,sz.000408,SELL,53.70800552,300,16112.401656,13.056200828,5228.355455172001,48.094565951877435,卖出信号（盈亏48.28%）
2025-11-06,sz.300433,BUY,31.27,500,15635.0,5.0,0.0,0.0,买入信号
2026-03-27,sz.002459,SELL,11.95,400,4780.0,7.390000000000001,-2208.9800000000005,-31.640070528346705,卖出信号（盈亏-31.49%）
2026-03-30,sz.000895,BUY,27.63870578,200,5527.74,5.0,0.0,0.0,买入信号
2026-04-09,sz.000895,SELL,26.94822439,200,5389.644878,7.694822439,-150.78994443899956,-2.7254117207567963,卖出信号（盈亏-2.50%）
2026-04-15,sz.300498,BUY,16.91162514,300,5073.49,5.0,0.0,0.0,买入信号
2026-04-17,sz.300433,SELL,25.99,500,12995.0,11.4975,-2656.4974999999995,-16.985278132992324,卖出信号（盈亏-16.89%）
2026-04-20,sh.600406,BUY,27.24,500,13620.0,5.0,0.0,0.0,买入信号
2026-04-22,sh.603288,SELL,38.93318772,400,15573.275088,12.786637544000001,1972.338450456,14.515135985811167,卖出信号（盈亏14.65%）
2026-04-23,sz.300498,SELL,15.76057212,300,4728.171636,7.3640858179999995,-357.68244981799944,-7.0430866225590565,卖出信号（盈亏-6.81%）
2026-04-23,sh.601127,BUY,91.5778576,100,9157.79,5.0,0.0,0.0,买入信号
2026-04-23,sh.601985,BUY,9.09,500,4545.0,5.0,0.0,0.0,买入信号
2026-05-21,sh.601985,SELL,8.74,500,4370.0,7.1850000000000005,-187.1850000000004,-4.113956043956053,卖出信号（盈亏-3.85%）
2026-05-29,sh.601600,BUY,11.42,400,4568.0,5.0,0.0,0.0,买入信号
